Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
1 16,2 18 0 3
2 0 0 0 3
3 0 0 0 3
4 0 0 0 3
5 0 0 0 3
6 0 0 0 3
7 0 0 0 3
8 0 0 0 3
9 0 0 0 3
10 0 0 0 3
11 0 0 0 3
12 0 0 0 3
13 0 0 0 3
14 0 0 0 3
15 0 0 0 3
16 0 0 0 3
17 0 0 0 3
18 0 0 0 3
19 0 0 0 3
20 0 0 0 3
21 0 0 0 3
22 0 0 0 3
23 0 0 0 3
24 0 0 0 3
25 0 0 0 3
26 14,10 24 0 3
27 0 0 0 3
28 20 9,11 0 3
29 0 0 0 3
30 0 0 0 3
31 0 0 0 3
32 0 0 0 3
33 0 0 0 3
34 0 0 0 3
35 25 3,22 0 3
36 0 0 0 3
37 0 0 0 3
38 0 0 0 3
39 0 0 0 3
40 0 0 0 3
41 0 0 0 3
42 0 0 0 3
43 0 0 0 3
44 25 7,18 0 3
45 0 0 0 3
46 0 0 0 3
47 0 0 0 3
48 12 8,4 0 3
49 0 0 0 3
50 0 0 0 3
51 0 0 0 3
52 0 0 0 3
53 0 0 0 3
54 0 0 0 3
55 0 0 0 3
56 0 0 0 3
57 0 0 0 3
58 0 0 0 3
59 0 0 0 3
60 0 0 0 3
61 0 0 0 3
62 0 0 0 3
63 0 0 0 3
64 0 0 0 3
65 0 0 0 3
66 0 0 0 3
67 0 0 0 3
68 0 0 0 3
69 0 0 0 3
70 0 0 0 3
71 0 0 0 3
72 0 0 0 3
73 9,14 23 0 3
74 0 0 0 3
75 0 0 0 3
76 0 0 0 3
77 0 0 0 3
78 0 0 0 3
79 0 0 0 3
80 0 0 0 3
81 0 0 0 3
82 0 0 0 3
83 0 0 0 3
84 0 0 0 3
85 0 0 0 3
86 0 0 0 3
87 0 0 0 3
88 0 0 0 3
89 16,7 23 0 3
90 0 0 0 3
91 0 0 0 3
92 0 0 0 3
93 0 0 0 3
94 0 0 0 3
95 0 0 0 3
96 0 0 0 3
97 0 0 0 3
98 0 0 0 3
99 0 0 0 3
100 0 0 0 3
101 0 0 0 4
102 0 0 0 4
103 0 0 0 4
104 0 0 0 4
105 0 0 0 4
106 0 0 0 4
107 0 0 0 4
108 0 0 0 4
109 0 0 0 4
110 0 0 0 4
111 0 0 0 4
112 22,8 18,12 0 4
113 0 0 0 4
114 0 0 0 4
115 0 0 0 4
116 0 0 0 4
117 0 0 0 4
118 0 0 0 4
119 0 0 0 4
120 0 0 0 4
121 0 0 0 4
122 0 0 0 4
123 0 0 0 4
124 0 0 0 4
125 17,8 13,12 0 4
126 0 0 0 4
127 0 0 0 4
128 0 0 0 4
129 15,14 20,9 0 4
130 0 0 0 4
131 0 0 0 4
132 0 0 0 4
133 0 0 0 4
134 0 0 0 4
135 0 0 0 4
136 0 0 0 4
137 13,8 3,18 0 4
138 0 0 0 4
139 0 0 0 4
140 0 0 1366900 4
141 0 0 0 4
142 0 0 0 4
143 0 0 0 4
144 0 0 0 4
145 0 0 0 4
146 0 0 0 4
147 0 0 0 4
148 0 0 0 4
149 0 0 0 4
150 0 0 0 4
151 20,18 23,15 0 4
152 0 0 0 4
153 16,12 22,6 0 4
154 0 0 0 4
155 0 0 0 4
156 12,6 12,6 0 4
157 0 0 0 4
158 0 0 0 4
159 17,11 3,25 0 4
160 0 0 0 4
161 0 0 0 4
162 0 0 0 4
163 0 0 0 4
164 0 0 0 4
165 0 0 0 4
166 0 0 0 4
167 0 0 0 4
168 0 0 0 4
169 0 0 0 4
170 0 0 0 4
171 0 0 0 4
172 0 0 0 4
173 0 0 0 4
174 0 0 0 4
175 0 0 0 4
176 0 0 0 4
177 0 0 0 4
178 0 0 0 4
179 0 0 0 4
180 17,19 15,21 0 4
181 0 0 0 4
182 0 0 0 4
183 0 0 0 4
184 0 0 0 4
185 3,24 13,14 0 4
186 0 0 0 4
187 3,5 4,4 0 4
188 0 0 0 4
189 0 0 0 4
